epoch,batch,train_loss,train_accuracy,test_loss,test_accuracy,test_precision,test_recall,test_f1-score
4,357.0,1.8144895,0.375,,,,,
4,358.0,1.7957156,0.53125,,,,,
4,359.0,1.6304348,0.40625,,,,,
4,360.0,1.711177,0.4375,,,,,
4,361.0,1.6705471,0.5,,,,,
4,362.0,1.6275866,0.4375,,,,,
4,363.0,1.45495,0.59375,,,,,
4,364.0,1.6694752,0.40625,,,,,
4,365.0,1.7129247,0.4375,,,,,
4,366.0,1.6220863,0.5,,,,,
4,367.0,1.6153457,0.5625,,,,,
4,368.0,1.6704985,0.375,,,,,
4,369.0,1.7056009,0.40625,,,,,
4,370.0,1.5300322,0.5625,,,,,
4,371.0,0.82806677,0.71875,,,,,
4,372.0,1.5180936,0.5,,,,,
4,,,,1.8598707,0.45932203389830506,0.5302225487287546,0.45875000000000005,0.4379658223028801
5,373.0,1.8687122,0.4375,,,,,
5,374.0,1.5066187,0.4375,,,,,
5,375.0,1.4088303,0.5,,,,,
5,376.0,1.2855214,0.5,,,,,
5,377.0,1.31421,0.65625,,,,,
5,378.0,0.9554664,0.65625,,,,,
5,379.0,1.5717645,0.5,,,,,
5,380.0,1.7439543,0.375,,,,,
5,381.0,1.479739,0.40625,,,,,
5,382.0,1.3743813,0.59375,,,,,
5,383.0,1.2004404,0.53125,,,,,
5,384.0,1.5572453,0.5,,,,,
5,385.0,1.4031235,0.5,,,,,
5,386.0,1.5203805,0.5,,,,,
5,387.0,0.9951697,0.6875,,,,,
5,388.0,1.1651124,0.625,,,,,
5,389.0,1.1950177,0.65625,,,,,
5,390.0,1.1940036,0.53125,,,,,
5,391.0,1.2060701,0.625,,,,,
5,392.0,1.0118293,0.65625,,,,,
5,393.0,1.521213,0.5,,,,,
5,394.0,0.93182015,0.65625,,,,,
5,395.0,1.4160423,0.40625,,,,,
5,396.0,1.1730353,0.59375,,,,,
5,397.0,1.405584,0.5625,,,,,
5,398.0,1.1342967,0.625,,,,,
5,399.0,1.6178187,0.53125,,,,,
5,400.0,1.189488,0.5625,,,,,
5,401.0,1.1364578,0.625,,,,,
5,402.0,1.1524055,0.5625,,,,,
5,403.0,1.300408,0.53125,,,,,
5,404.0,1.1363708,0.65625,,,,,
5,405.0,1.0585139,0.625,,,,,
5,406.0,1.2060391,0.625,,,,,
5,407.0,1.3841534,0.5,,,,,
5,408.0,1.0281109,0.5625,,,,,
5,409.0,0.9817976,0.71875,,,,,
5,410.0,1.2669646,0.625,,,,,
5,411.0,1.5029417,0.53125,,,,,
5,412.0,1.3815755,0.5625,,,,,
5,413.0,1.07428,0.65625,,,,,
5,414.0,1.3809845,0.53125,,,,,
5,415.0,1.130792,0.59375,,,,,
5,416.0,0.847736,0.6875,,,,,
5,417.0,1.5468818,0.5625,,,,,
5,418.0,0.9325583,0.65625,,,,,
5,419.0,0.7927254,0.75,,,,,
5,420.0,1.2945673,0.625,,,,,
5,421.0,1.2448847,0.5625,,,,,
5,422.0,1.449766,0.59375,,,,,
5,423.0,1.1774114,0.5625,,,,,
5,424.0,0.9835867,0.53125,,,,,
5,425.0,0.99335873,0.625,,,,,
5,426.0,1.1955715,0.6875,,,,,
5,427.0,1.4632394,0.53125,,,,,
5,428.0,1.5116109,0.5,,,,,
5,429.0,1.0868473,0.625,,,,,
5,430.0,1.3124305,0.53125,,,,,
5,431.0,1.2373996,0.59375,,,,,
5,432.0,1.1345425,0.59375,,,,,
5,433.0,1.1243564,0.625,,,,,
5,434.0,0.99874234,0.71875,,,,,
5,435.0,0.8064449,0.71875,,,,,
5,436.0,0.94061863,0.75,,,,,
5,437.0,0.7595235,0.75,,,,,
5,438.0,1.0136943,0.71875,,,,,
5,439.0,1.3569111,0.53125,,,,,
5,440.0,1.1264167,0.625,,,,,
5,441.0,1.3733314,0.46875,,,,,
5,442.0,1.3015598,0.59375,,,,,
5,443.0,0.945844,0.6875,,,,,
5,444.0,0.9720907,0.71875,,,,,
5,445.0,1.3441898,0.59375,,,,,
5,446.0,1.6845403,0.375,,,,,
5,,,,1.4084774,0.5135593220338983,0.6032199194002544,0.5141666666666667,0.5064675557308049
6,447.0,1.0005966,0.6875,,,,,
6,448.0,1.0259799,0.59375,,,,,
6,449.0,1.1409403,0.65625,,,,,
6,450.0,0.81504625,0.6875,,,,,
6,451.0,1.253262,0.5625,,,,,
6,452.0,1.4088322,0.5,,,,,
6,453.0,1.0336474,0.75,,,,,
6,454.0,1.2780958,0.59375,,,,,
6,455.0,0.8747113,0.65625,,,,,
6,456.0,1.0391195,0.59375,,,,,
6,457.0,1.0050464,0.625,,,,,
6,458.0,1.0459213,0.5625,,,,,
6,459.0,0.9817846,0.78125,,,,,
6,460.0,1.2245787,0.59375,,,,,
6,461.0,1.1593126,0.59375,,,,,
6,462.0,1.257665,0.4375,,,,,
6,463.0,0.8416916,0.71875,,,,,
6,464.0,1.1730748,0.59375,,,,,
6,465.0,1.1167469,0.53125,,,,,
6,466.0,1.1277086,0.5625,,,,,
6,467.0,1.144612,0.5625,,,,,
6,468.0,1.2214042,0.625,,,,,
6,469.0,1.0013607,0.53125,,,,,
6,470.0,0.9467074,0.65625,,,,,
6,471.0,0.9876898,0.625,,,,,
6,472.0,0.7159845,0.75,,,,,
6,473.0,1.326997,0.53125,,,,,
6,474.0,0.9531701,0.6875,,,,,
6,475.0,1.4041928,0.5,,,,,
6,476.0,0.93056726,0.6875,,,,,
6,477.0,0.81758124,0.6875,,,,,
6,478.0,1.2638232,0.65625,,,,,
6,479.0,1.3979974,0.5,,,,,
6,480.0,1.154077,0.71875,,,,,
6,481.0,0.7693244,0.71875,,,,,
6,482.0,0.8988027,0.625,,,,,
